plate,brand,model,projectId,projectName,workshopName,technicianName,priority,status,category,description,symptoms,reportedAt,assignedAt,acceptedAt,startedAt,completedAt,dueDate,locationLabel,cost
"ฒน-2984","Honda","CR-V","110","จุดบริการลูกค้า 10","อู่ใหญ่บางซื่อ","ช่างสมปอง","urgent","in_progress","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-13T00:00:00Z","2026-05-13T00:18:00Z","2026-05-13T00:25:00Z","2026-05-13T00:41:00Z","","2026-06-08T00:00:00Z","ลาน 1",""
"มพ-2090","Ford","Ranger","111","จุดบริการลูกค้า 11","อู่ช่างนิวรังสิต","ช่างนิว","normal","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-08T00:00:00Z","2026-05-08T00:32:00Z","2026-05-08T00:37:00Z","2026-05-08T00:47:00Z","2026-05-09T07:56:00Z","2026-05-10T00:47:00Z","ช่อง 2","2800"
"บษ-2731","Ford","Everest","112","จุดบริการลูกค้า 12","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-18T00:00:00Z","2026-05-18T00:57:00Z","2026-05-18T01:06:00Z","2026-05-18T01:32:00Z","2026-05-18T17:44:00Z","2026-05-19T01:32:00Z","ช่อง 3","5900"
"ยง-1821","Isuzu","MU-X","113","จุดบริการลูกค้า 13","อู่ช่างนิวรังสิต","ช่างนิว","normal","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-09T00:00:00Z","2026-05-09T00:47:00Z","2026-05-09T00:56:00Z","2026-05-09T01:16:00Z","2026-05-09T20:46:00Z","2026-05-11T01:16:00Z","ลานจอด","3300"
"งอ-2611","Honda","Accord","114","จุดบริการลูกค้า 14","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-19T00:00:00Z","2026-05-19T00:24:00Z","2026-05-19T00:38:00Z","2026-05-19T01:02:00Z","2026-05-19T03:34:00Z","2026-05-24T01:02:00Z","ช่อง 1","3500"
"ผซ-1103","Nissan","Kicks","115","จุดบริการลูกค้า 15","อู่ใหญ่บางซื่อ","ช่างสมชาย","high","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-28T00:00:00Z","2026-05-28T00:51:00Z","2026-05-28T00:58:00Z","2026-05-28T01:28:00Z","2026-05-29T22:17:00Z","2026-05-31T01:28:00Z","ลานจอด","2200"
"ษฬ-1522","Isuzu","MU-X","116","จุดบริการลูกค้า 16","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-06T00:00:00Z","2026-05-06T00:47:00Z","2026-05-06T00:59:00Z","2026-05-06T01:21:00Z","2026-05-09T14:17:00Z","2026-05-10T01:21:00Z","ช่อง 2","8000"
"ฎฒ-4481","Nissan","Terra","117","จุดบริการลูกค้า 17","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-27T00:00:00Z","2026-05-27T00:53:00Z","2026-05-27T01:06:00Z","2026-05-27T01:21:00Z","2026-05-28T21:54:00Z","2026-05-30T01:21:00Z","ช่อง 4","7600"
"ขฝ-5099","Nissan","Navara","118","จุดบริการลูกค้า 18","อู่ช่างนิวรังสิต","ช่างนิว","normal","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-31T00:00:00Z","2026-05-31T00:40:00Z","2026-05-31T00:53:00Z","2026-05-31T01:12:00Z","2026-06-06T01:12:00Z","2026-06-05T01:12:00Z","ลาน 2","2700"
"ศถ-8095","Ford","Ranger","119","จุดบริการลูกค้า 19","อู่ใหญ่บางซื่อ","ช่างสมปอง","urgent","assigned","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-15T00:00:00Z","2026-05-15T00:56:00Z","","","","2026-05-18T01:34:00Z","ช่องด่วน",""
"ถน-7168","Toyota","Camry","120","จุดบริการลูกค้า 20","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","in_progress","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-28T00:00:00Z","2026-05-28T00:24:00Z","2026-05-28T00:30:00Z","2026-05-28T00:40:00Z","","2026-06-03T00:00:00Z","ช่อง 1",""
"ธญ-7399","Nissan","Navara","121","จุดบริการลูกค้า 21","อู่ช่างนิวรังสิต","ช่างนิว","urgent","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-18T00:00:00Z","2026-05-18T00:23:00Z","2026-05-18T00:30:00Z","2026-05-18T00:58:00Z","2026-05-21T22:36:00Z","2026-05-22T00:58:00Z","ห้องเครื่อง","7500"
"ฆด-8444","Toyota","Hilux Revo","122","จุดบริการลูกค้า 22","อู่ใหญ่บางซื่อ","ช่างสมชาย","normal","awaiting_qa","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-27T00:00:00Z","2026-05-27T00:54:00Z","2026-05-27T01:05:00Z","2026-05-27T01:23:00Z","","2026-06-08T00:00:00Z","ช่อง 3",""
"ขฅ-8908","Mazda","CX-5","123","จุดบริการลูกค้า 23","อู่ช่างนิวรังสิต","ช่างนิว","normal","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-16T00:00:00Z","2026-05-16T00:42:00Z","2026-05-16T00:55:00Z","2026-05-16T01:15:00Z","2026-05-18T11:56:00Z","2026-05-19T01:15:00Z","ช่อง 2","7400"
"ผฃ-7922","Isuzu","D-Max","124","จุดบริการลูกค้า 24","อู่ช่างวิทย์ปทุม","ช่างวิทย์","normal","blocked","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-09T00:00:00Z","2026-05-09T00:27:00Z","2026-05-09T00:33:00Z","2026-05-09T01:01:00Z","","2026-06-08T00:00:00Z","ห้องเครื่อง",""
"ฏน-9868","Toyota","Fortuner","125","จุดบริการลูกค้า 25","อู่ช่างนิวรังสิต","ช่างนิว","urgent","in_progress","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-25T00:00:00Z","2026-05-25T00:28:00Z","2026-05-25T00:39:00Z","2026-05-25T00:53:00Z","","2026-06-06T00:00:00Z","ช่อง 3",""
"ฑฬ-5905","Nissan","Terra","126","จุดบริการลูกค้า 26","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-31T00:00:00Z","2026-05-31T00:23:00Z","2026-05-31T00:36:00Z","2026-05-31T01:00:00Z","2026-05-31T19:52:00Z","2026-06-02T01:00:00Z","ช่องด่วน","4900"
"ปฒ-7957","Honda","Civic","127","จุดบริการลูกค้า 27","อู่ช่างวิทย์ปทุม","ช่างวิทย์","urgent","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-06-02T00:00:00Z","2026-06-02T00:39:00Z","2026-06-02T00:54:00Z","2026-06-02T01:20:00Z","2026-06-02T06:19:00Z","2026-06-03T01:20:00Z","ช่อง 1","9800"
"ปญ-5181","Isuzu","D-Max","128","จุดบริการลูกค้า 28","อู่ใหญ่บางซื่อ","ช่างสมชาย","normal","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-14T00:00:00Z","2026-05-14T00:36:00Z","2026-05-14T00:50:00Z","2026-05-14T01:12:00Z","2026-05-14T18:51:00Z","2026-05-15T01:12:00Z","ลานจอด","8200"
"ษฎ-2586","Honda","City","129","จุดบริการลูกค้า 29","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-09T00:00:00Z","2026-05-09T00:21:00Z","2026-05-09T00:35:00Z","2026-05-09T00:56:00Z","2026-05-11T02:36:00Z","2026-05-14T00:56:00Z","ช่องด่วน","700"
"นฅ-9935","Honda","Accord","130","จุดบริการลูกค้า 30","อู่ช่างนิวรังสิต","ช่างนิว","high","awaiting_qa","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-17T00:00:00Z","2026-05-17T00:37:00Z","2026-05-17T00:44:00Z","2026-05-17T00:56:00Z","","2026-06-06T00:00:00Z","ช่องด่วน",""
"ฉภ-9258","Toyota","Camry","131","จุดบริการลูกค้า 31","อู่ใหญ่บางซื่อ","ช่างสมปอง","high","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-08T00:00:00Z","2026-05-08T00:49:00Z","2026-05-08T00:57:00Z","2026-05-08T01:14:00Z","2026-05-11T19:55:00Z","2026-05-13T01:14:00Z","ช่องด่วน","5900"
"ฆฅ-2119","Nissan","Kicks","132","จุดบริการลูกค้า 32","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","assigned","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-20T00:00:00Z","2026-05-20T00:44:00Z","","","","2026-05-22T01:23:00Z","ลานจอด",""
"ฮณ-4009","Nissan","Almera","133","จุดบริการลูกค้า 33","อู่ช่างวิทย์ปทุม","ช่างวิทย์","normal","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-27T00:00:00Z","2026-05-27T00:53:00Z","2026-05-27T00:59:00Z","2026-05-27T01:15:00Z","2026-05-27T19:33:00Z","2026-05-29T01:15:00Z","ลาน 1","2600"
"ฃก-2579","Toyota","Camry","134","จุดบริการลูกค้า 34","อู่ใหญ่บางซื่อ","ช่างสมปอง","normal","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-07T00:00:00Z","2026-05-07T00:48:00Z","2026-05-07T00:54:00Z","2026-05-07T01:11:00Z","2026-05-09T00:41:00Z","2026-05-12T01:11:00Z","ลานจอด","9900"
"คว-7701","Mazda","CX-5","135","จุดบริการลูกค้า 35","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","in_progress","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-07T00:00:00Z","2026-05-07T00:21:00Z","2026-05-07T00:30:00Z","2026-05-07T00:53:00Z","","2026-06-02T00:00:00Z","ช่อง 1",""
"ญม-4749","Ford","Ranger","136","จุดบริการลูกค้า 36","อู่ใหญ่บางซื่อ","ช่างสมปอง","high","assigned","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-24T00:00:00Z","2026-05-24T00:22:00Z","","","","2026-05-27T00:53:00Z","ลานจอด",""
"ภล-5604","Honda","CR-V","137","จุดบริการลูกค้า 37","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-15T00:00:00Z","2026-05-15T00:43:00Z","2026-05-15T00:50:00Z","2026-05-15T01:02:00Z","2026-05-15T16:58:00Z","2026-05-20T01:02:00Z","ช่อง 4","9300"
"ตฟ-6170","Mazda","CX-5","138","จุดบริการลูกค้า 38","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-12T00:00:00Z","2026-05-12T00:25:00Z","2026-05-12T00:39:00Z","2026-05-12T00:50:00Z","2026-05-13T12:10:00Z","2026-05-17T00:50:00Z","ช่อง 3","9300"
"ฏญ-6437","Mitsubishi","Triton","139","จุดบริการลูกค้า 39","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-25T00:00:00Z","2026-05-25T00:56:00Z","2026-05-25T01:08:00Z","2026-05-25T01:31:00Z","2026-06-01T01:31:00Z","2026-05-30T01:31:00Z","ช่อง 4","3800"
"สค-1084","Mitsubishi","Xpander","140","จุดบริการลูกค้า 40","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","completed","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-18T00:00:00Z","2026-05-18T00:19:00Z","2026-05-18T00:32:00Z","2026-05-18T01:01:00Z","2026-05-20T08:14:00Z","2026-05-22T01:01:00Z","ช่อง 1","9600"
"ฑน-7514","Ford","Ranger","141","จุดบริการลูกค้า 41","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","normal","in_progress","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-15T00:00:00Z","2026-05-15T00:16:00Z","2026-05-15T00:28:00Z","2026-05-15T00:58:00Z","","2026-06-07T00:00:00Z","ห้องเครื่อง",""
"จศ-6925","Ford","Ranger","142","จุดบริการลูกค้า 42","อู่ใหญ่บางซื่อ","ช่างสมชาย","urgent","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-12T00:00:00Z","2026-05-12T00:25:00Z","2026-05-12T00:36:00Z","2026-05-12T01:03:00Z","2026-05-12T22:03:00Z","2026-05-13T01:03:00Z","ช่อง 2","6900"
"จท-5660","Toyota","Fortuner","143","จุดบริการลูกค้า 43","อู่ช่างวิทย์ปทุม","ช่างวิทย์","urgent","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-08T00:00:00Z","2026-05-08T00:56:00Z","2026-05-08T01:08:00Z","2026-05-08T01:27:00Z","2026-05-08T09:18:00Z","2026-05-09T01:27:00Z","ช่อง 4","2200"
"ณษ-9388","Mazda","CX-5","144","จุดบริการลูกค้า 44","อู่ช่างวิทย์ปทุม","ช่างวิทย์","normal","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-14T00:00:00Z","2026-05-14T01:00:00Z","2026-05-14T01:06:00Z","2026-05-14T01:22:00Z","2026-05-14T22:31:00Z","2026-05-15T01:22:00Z","ช่อง 2","5400"
"ฐฉ-5798","Toyota","Hilux Revo","145","จุดบริการลูกค้า 45","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","completed","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-12T00:00:00Z","2026-05-12T00:49:00Z","2026-05-12T00:57:00Z","2026-05-12T01:23:00Z","2026-05-12T13:54:00Z","2026-05-13T01:23:00Z","ช่อง 1","8100"
"ผษ-1759","Honda","Civic","146","จุดบริการลูกค้า 46","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-12T00:00:00Z","2026-05-12T00:29:00Z","2026-05-12T00:42:00Z","2026-05-12T01:07:00Z","2026-05-12T04:01:00Z","2026-05-13T01:07:00Z","ช่อง 1","6000"
"สผ-6348","Ford","Everest","147","จุดบริการลูกค้า 47","อู่ใหญ่บางซื่อ","ช่างสมปอง","urgent","in_progress","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-26T00:00:00Z","2026-05-26T00:38:00Z","2026-05-26T00:47:00Z","2026-05-26T01:04:00Z","","2026-06-07T00:00:00Z","ช่อง 3",""
"ษถ-7861","Honda","Civic","148","จุดบริการลูกค้า 48","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","reported","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-31T00:00:00Z","","","","","2026-06-03T00:43:00Z","ช่องด่วน",""
"อฝ-4522","Ford","Ranger","149","จุดบริการลูกค้า 49","อู่ช่างวิทย์ปทุม","ช่างวิทย์","urgent","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-19T00:00:00Z","2026-05-19T01:00:00Z","2026-05-19T01:08:00Z","2026-05-19T01:35:00Z","2026-05-23T01:35:00Z","2026-05-20T01:35:00Z","ห้องเครื่อง","4000"
"ซด-6306","Toyota","Yaris","150","จุดบริการลูกค้า 50","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","normal","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-06T00:00:00Z","2026-05-06T00:47:00Z","2026-05-06T01:01:00Z","2026-05-06T01:23:00Z","2026-05-10T06:45:00Z","2026-05-11T01:23:00Z","ช่อง 1","8700"
"รถ-1778","Honda","CR-V","151","จุดบริการลูกค้า 51","อู่ใหญ่บางซื่อ","ช่างสมปอง","normal","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-27T00:00:00Z","2026-05-27T00:15:00Z","2026-05-27T00:24:00Z","2026-05-27T00:45:00Z","2026-05-27T17:11:00Z","2026-06-01T00:45:00Z","ช่อง 1","4400"
"ธฒ-6697","Honda","Civic","152","จุดบริการลูกค้า 52","อู่ช่างนิวรังสิต","ช่างนิว","urgent","awaiting_qa","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-31T00:00:00Z","2026-05-31T00:25:00Z","2026-05-31T00:30:00Z","2026-05-31T00:41:00Z","","2026-06-06T00:00:00Z","ช่องด่วน",""
"ฏก-5251","Honda","HR-V","153","จุดบริการลูกค้า 53","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","normal","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-11T00:00:00Z","2026-05-11T00:54:00Z","2026-05-11T01:02:00Z","2026-05-11T01:28:00Z","2026-05-11T13:30:00Z","2026-05-12T01:28:00Z","ช่อง 4","1900"
"ฏด-4483","Toyota","Vios","154","จุดบริการลูกค้า 54","อู่ช่างนิวรังสิต","ช่างนิว","urgent","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-21T00:00:00Z","2026-05-21T00:43:00Z","2026-05-21T00:48:00Z","2026-05-21T01:08:00Z","2026-05-21T09:15:00Z","2026-05-22T01:08:00Z","ลานจอด","9200"
"ภห-2863","Isuzu","D-Max","155","จุดบริการลูกค้า 55","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","normal","awaiting_qa","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-31T00:00:00Z","2026-05-31T00:11:00Z","2026-05-31T00:19:00Z","2026-05-31T00:38:00Z","","2026-06-08T00:00:00Z","ลานจอด",""
"ฑถ-6747","Ford","Everest","156","จุดบริการลูกค้า 56","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-23T00:00:00Z","2026-05-23T00:33:00Z","2026-05-23T00:48:00Z","2026-05-23T01:03:00Z","2026-05-23T07:44:00Z","2026-05-27T01:03:00Z","ลาน 1","7500"
"ฟฝ-6506","Honda","CR-V","157","จุดบริการลูกค้า 57","อู่ช่างนิวรังสิต","ช่างนิว","normal","awaiting_qa","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-12T00:00:00Z","2026-05-12T00:25:00Z","2026-05-12T00:37:00Z","2026-05-12T00:51:00Z","","2026-06-08T00:00:00Z","ช่องด่วน",""
"ถง-2018","Ford","Ranger","158","จุดบริการลูกค้า 58","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","normal","reported","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-06T00:00:00Z","","","","","2026-05-09T00:33:00Z","ช่อง 2",""
"ฆส-5349","Toyota","Camry","159","จุดบริการลูกค้า 59","อู่ช่างนิวรังสิต","ช่างนิว","normal","in_progress","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-10T00:00:00Z","2026-05-10T00:55:00Z","2026-05-10T01:03:00Z","2026-05-10T01:31:00Z","","2026-06-06T00:00:00Z","ลาน 1",""
"ผณ-4056","Mitsubishi","Triton","160","จุดบริการลูกค้า 60","อู่ช่างนิวรังสิต","ช่างนิว","normal","in_progress","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-12T00:00:00Z","2026-05-12T00:15:00Z","2026-05-12T00:28:00Z","2026-05-12T00:47:00Z","","2026-06-08T00:00:00Z","ช่อง 4",""
"ฎจ-7439","Toyota","Yaris","161","จุดบริการลูกค้า 61","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-30T00:00:00Z","2026-05-30T00:27:00Z","2026-05-30T00:38:00Z","2026-05-30T01:05:00Z","2026-06-03T01:05:00Z","2026-06-02T01:05:00Z","ห้องเครื่อง","7300"
"ษภ-8720","Toyota","Hilux Revo","162","จุดบริการลูกค้า 62","อู่ช่างวิทย์ปทุม","ช่างวิทย์","urgent","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-11T00:00:00Z","2026-05-11T00:34:00Z","2026-05-11T00:41:00Z","2026-05-11T00:52:00Z","2026-05-11T22:41:00Z","2026-05-14T00:52:00Z","ช่อง 2","5800"
"อฏ-4857","Nissan","Almera","163","จุดบริการลูกค้า 63","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","in_progress","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-06T00:00:00Z","2026-05-06T00:37:00Z","2026-05-06T00:42:00Z","2026-05-06T01:01:00Z","","2026-06-06T00:00:00Z","ช่องด่วน",""
"ธญ-9067","Mitsubishi","Pajero","164","จุดบริการลูกค้า 64","อู่ใหญ่บางซื่อ","ช่างสมปอง","high","completed","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-17T00:00:00Z","2026-05-17T00:32:00Z","2026-05-17T00:46:00Z","2026-05-17T01:03:00Z","2026-05-18T09:29:00Z","2026-05-20T01:03:00Z","ลานจอด","2400"
