plate,brand,model,projectId,projectName,workshopName,technicianName,priority,status,category,description,symptoms,reportedAt,assignedAt,acceptedAt,startedAt,completedAt,dueDate,locationLabel,cost
ตต-6666,Honda,CR-V,109,จุดดอนเมือง,ศูนย์ฮอนด้าลาดพร้าว,ช่างเอก,normal,completed,ระบบปรับอากาศ,เติมน้ำยาแอร์,"แอร์ไม่เย็น",2026-06-01T13:00:00Z,2026-06-01T13:10:00Z,2026-06-01T13:15:00Z,2026-06-01T13:30:00Z,2026-06-01T15:00:00Z,2026-06-02T12:00:00Z,ลาน 2,800
ทท-7777,Isuzu,MU-X,110,จุดพระราม9,อู่ช่างวิทย์ปทุม,ช่างวิทย์,normal,in_progress,ระบบช่วงล่าง,มีเสียงดังกุกกักเวลาเลี้ยว,"เสียงดัง",2026-06-02T09:00:00Z,2026-06-02T09:15:00Z,2026-06-02T09:20:00Z,2026-06-02T10:00:00Z,,2026-06-03T17:00:00Z,ช่อง 3,
ธธ-8888,Ford,Everest,111,จุดวิภาวดี,อู่ใหญ่บางซื่อ,ช่างสมปอง,high,completed,ระบบเบรก,เปลี่ยนผ้าเบรก 4 ล้อ,"เบรกมีเสียง",2026-06-03T08:30:00Z,2026-06-03T08:45:00Z,2026-06-03T08:50:00Z,2026-06-03T09:30:00Z,2026-06-03T14:00:00Z,2026-06-04T12:00:00Z,ช่อง 4,4000
นน-9999,Nissan,Terra,112,จุดเพชรเกษม,อู่ช่างนิวรังสิต,ช่างนิว,high,completed,ระบบเครื่องยนต์,เปลี่ยนสายพานไทม์มิ่ง,"มีเสียงอี๊ดๆ",2026-05-25T10:00:00Z,2026-05-25T10:10:00Z,2026-05-25T10:15:00Z,2026-05-25T11:00:00Z,2026-05-28T16:00:00Z,2026-05-26T17:00:00Z,ช่อง 1,6500
บบ-1234,Mitsubishi,Pajero,113,จุดรามคำแหง,อู่ใหญ่บางซื่อ,ช่างสมชาย,urgent,reported,ระบบไฟ,แบตเตอรี่เสื่อม สตาร์ทไม่ติด,"สตาร์ทไม่ติด",2026-06-05T07:00:00Z,,,,,,,2026-06-05T12:00:00Z,ลานจอด,
ปป-5678,Mazda,CX-5,114,จุดลาดพร้าว,ศูนย์ฮอนด้าลาดพร้าว,ช่างเอก,normal,completed,บำรุงรักษาทั่วไป,สลับยางถ่วงล้อ,,2026-06-04T14:00:00Z,2026-06-04T14:10:00Z,2026-06-04T14:15:00Z,2026-06-04T14:30:00Z,2026-06-04T16:00:00Z,2026-06-05T12:00:00Z,ลาน 1,500
ผผ-9012,Toyota,Camry,115,จุดสุขุมวิท,อู่ช่างวิทย์ปทุม,ช่างวิทย์,high,in_progress,ระบบแอร์,คอมแอร์พัง,"แอร์มีแต่ลมร้อน",2026-05-30T10:00:00Z,2026-05-30T10:15:00Z,2026-05-30T10:20:00Z,2026-05-30T11:00:00Z,,2026-06-01T17:00:00Z,ช่อง 2,
ฝฝ-3456,Honda,Accord,116,จุดสีลม,อู่ช่างนิวรังสิต,ช่างนิว,normal,completed,ระบบช่วงล่าง,เปลี่ยนลูกหมากกันโคลง,"พวงมาลัยสั่น",2026-06-02T08:00:00Z,2026-06-02T08:15:00Z,2026-06-02T08:20:00Z,2026-06-02T09:00:00Z,2026-06-02T15:00:00Z,2026-06-03T12:00:00Z,ช่อง 2,2800
พพ-7890,Isuzu,D-Max,117,จุดสาทร,อู่ใหญ่บางซื่อ,ช่างสมปอง,urgent,completed,ระบบเครื่องยนต์,หม้อน้ำรั่ว ความร้อนขึ้น,"เกจความร้อนขึ้นสุด",2026-06-03T15:00:00Z,2026-06-03T15:10:00Z,2026-06-03T15:15:00Z,2026-06-03T15:30:00Z,2026-06-04T11:00:00Z,2026-06-04T17:00:00Z,ช่อง 4,5500
ฟฟ-1122,Ford,Ranger,118,จุดพญาไท,อู่ช่างวิทย์ปทุม,ช่างวิทย์,high,blocked,ระบบเบรก,ปั๊มเบรก ABS เสีย รอเบิกศูนย์,"เบรกจม แจ้งเตือนหน้าปัด",2026-05-25T09:00:00Z,2026-05-25T09:15:00Z,2026-05-25T09:20:00Z,2026-05-25T10:00:00Z,,2026-05-28T12:00:00Z,ช่อง 1,
