plate,brand,model,teamName,technicianName,priority,status,category,description,symptoms,locationLabel,latitude,longitude,cost,reportedAt,assignedAt,startedAt,completedAt,dueDate
ชร-5573,Toyota,Fortuner,ทีม B (ภาคเหนือ),ช่างนพดล,normal,completed,เบรก,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,นิคมอุตสาหกรรมแหลมฉบัง,13.091890,100.899913,8739,2026-04-24T03:34:47.037Z,2026-04-24T04:43:40.116Z,2026-04-24T10:13:34.885Z,2026-04-25T20:41:58.974Z,2026-04-30T03:42:22.049Z
สข-7707,Nissan,Navara,ทีม E (ภาคอีสาน),ช่างศักดิ์ชัย,low,completed,ช่วงล่าง,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,ทางหลวงหมายเลข 118 (ดอยสะเก็ด),18.920779,99.235905,5224,2026-02-11T18:20:19.537Z,2026-02-11T19:32:41.900Z,2026-02-11T21:54:14.124Z,2026-02-13T03:52:12.433Z,2026-02-16T02:45:56.245Z
สข-8979,Nissan,Navara,ทีม A (กรุงเทพฯ),ช่างกิตติ,high,completed,เบรก,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,สี่แยกปฐมพร ชุมพร,10.491183,99.188871,4923,2026-03-08T00:08:18.417Z,2026-03-08T02:01:51.112Z,2026-03-08T08:00:57.549Z,2026-03-09T05:07:57.508Z,2026-03-12T00:42:51.166Z
กท-4387,Nissan,Urvan,ทีม B (ภาคเหนือ),ช่างเอก,normal,completed,เบรก,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,สนามบินสุวรรณภูมิ,13.700202,100.748956,8944,2026-04-03T05:33:21.780Z,2026-04-03T08:57:03.732Z,2026-04-03T15:11:48.815Z,2026-04-04T03:13:11.291Z,2026-04-09T18:46:30.745Z
สข-6582,Ford,Everest,ทีม D (ภาคใต้),ช่างเอก,urgent,completed,ระบบไฟฟ้า,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,ถนนมิตรภาพ โคราช,14.980127,102.095234,8116,2026-05-30T21:39:23.317Z,2026-05-31T00:40:30.239Z,2026-05-31T02:59:43.633Z,2026-06-01T22:30:49.436Z,2026-06-05T17:26:06.772Z
สข-2251,Toyota,Commuter,ทีม A (กรุงเทพฯ),ช่างมานะ,normal,completed,ระบบไฟฟ้า,แบตเตอรี่เสื่อม ไฟไม่พอสตาร์ท,ไฟหน้าปัดโชว์,ลานจอดรถ บิ๊กซี พระราม 4,13.743123,100.583284,4151,2026-05-09T02:18:31.290Z,2026-05-09T03:52:27.611Z,2026-05-09T08:43:04.127Z,2026-05-11T01:11:12.599Z,2026-05-15T17:22:59.761Z
ขก-2381,Isuzu,MU-X,ทีม B (ภาคเหนือ),ช่างสมชาย,urgent,completed,แอร์,แบตเตอรี่เสื่อม ไฟไม่พอสตาร์ท,ไฟหน้าปัดโชว์,สี่แยกปฐมพร ชุมพร,10.481662,99.166649,3549,2025-12-26T16:58:53.819Z,2025-12-26T20:42:35.820Z,2025-12-27T03:09:20.389Z,2025-12-29T02:34:00.276Z,2025-12-30T10:29:04.584Z
ชร-7396,Isuzu,Elf,ทีม C (ภาคตะวันออก),ช่างวิชัย,high,completed,เครื่องยนต์,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,นิคมอุตสาหกรรมบางปู,13.531097,100.623961,5986,2026-01-07T12:34:50.243Z,2026-01-07T13:54:59.121Z,2026-01-07T19:59:35.728Z,2026-01-09T11:37:57.157Z,2026-01-13T00:09:39.855Z
นว-1105,Isuzu,Elf,ทีม C (ภาคตะวันออก),ช่างกิตติ,low,completed,ตัวถัง,ยางแตกและแม็กดุ้งระหว่างทาง,พวงมาลัยสั่น,ถนนมิตรภาพ โคราช,14.994952,102.090859,1098,2026-05-14T13:48:38.147Z,2026-05-14T17:01:33.647Z,2026-05-14T20:39:52.748Z,2026-05-16T16:20:49.972Z,2026-05-18T04:03:32.203Z
ขก-5284,Ford,Ranger,ทีม C (ภาคตะวันออก),ช่างสมชาย,urgent,completed,เครื่องยนต์,แอร์ไม่เย็น คอมเพรสเซอร์ไม่ตัด,ลมร้อน,สี่แยกปฐมพร ชุมพร,10.479294,99.187399,5245,2026-04-24T11:12:14.887Z,2026-04-24T14:59:45.432Z,2026-04-24T18:14:35.954Z,2026-04-26T15:28:04.549Z,2026-04-27T12:02:58.215Z
นว-4669,Toyota,Commuter,ทีม A (กรุงเทพฯ),ช่างสมชาย,normal,completed,เครื่องยนต์,เบรกมีเสียงดังและเบรกไม่อยู่,เสียงดังเอี๊ยด,สนามบินสุวรรณภูมิ,13.667097,100.769467,1221,2026-05-21T02:50:14.677Z,2026-05-21T05:54:30.154Z,2026-05-21T12:35:51.443Z,2026-05-22T09:20:08.269Z,2026-05-27T12:52:44.966Z
สข-9800,Ford,Everest,ทีม B (ภาคเหนือ),ช่างกิตติ,urgent,completed,เบรก,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,นิคมอุตสาหกรรมแหลมฉบัง,13.067883,100.899684,2915,2026-01-26T05:47:07.777Z,2026-01-26T08:18:28.057Z,2026-01-26T16:05:54.864Z,2026-01-28T11:13:01.334Z,2026-01-31T05:08:03.715Z
ชร-7653,Nissan,Urvan,ทีม C (ภาคตะวันออก),ช่างศักดิ์ชัย,urgent,completed,ระบบไฟฟ้า,เบรกมีเสียงดังและเบรกไม่อยู่,เสียงดังเอี๊ยด,มอเตอร์เวย์ ขาออก กม. 45,13.537136,101.009549,6159,2025-12-15T21:03:32.333Z,2025-12-15T23:32:35.341Z,2025-12-16T07:31:47.576Z,2025-12-17T19:43:55.586Z,2025-12-20T14:24:32.728Z
สข-4519,Ford,Everest,ทีม D (ภาคใต้),ช่างเอก,high,in_progress,เครื่องยนต์,ระบบไฟหน้าช็อต หลอดขาดหมด,ไฟส่องสว่างไม่ทำงาน,นิคมอุตสาหกรรมแหลมฉบัง,13.059157,100.940461,0,2026-03-05T11:28:38.481Z,2026-03-05T14:53:49.708Z,2026-03-05T20:42:45.952Z,,2026-03-08T23:07:41.241Z
กท-8669,Nissan,Navara,ทีม C (ภาคตะวันออก),ช่างสุชาติ,urgent,completed,เบรก,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,สนามบินสุวรรณภูมิ,13.674910,100.756881,7921,2025-12-22T15:12:19.249Z,2025-12-22T17:57:24.750Z,2025-12-22T22:31:12.126Z,2025-12-23T16:31:04.254Z,2025-12-26T18:02:07.881Z
ชร-7666,Isuzu,D-Max,ทีม A (กรุงเทพฯ),ช่างมานะ,normal,completed,ตัวถัง,เบรกมีเสียงดังและเบรกไม่อยู่,เสียงดังเอี๊ยด,มอเตอร์เวย์ ขาออก กม. 45,13.510556,101.021599,5304,2025-12-30T16:16:02.901Z,2025-12-30T18:13:20.368Z,2025-12-30T23:23:08.755Z,2026-01-01T15:03:29.959Z,2026-01-05T23:07:42.972Z
นว-5391,Ford,Everest,ทีม C (ภาคตะวันออก),ช่างสุชาติ,normal,completed,แอร์,ระบบไฟหน้าช็อต หลอดขาดหมด,ไฟส่องสว่างไม่ทำงาน,สนามบินสุวรรณภูมิ,13.689531,100.765456,3663,2026-03-15T10:53:03.732Z,2026-03-15T13:40:57.140Z,2026-03-15T17:05:41.547Z,2026-03-16T17:54:39.727Z,2026-03-21T00:05:54.565Z
ชบ-8000,Ford,Everest,ทีม B (ภาคเหนือ),ช่างกิตติ,high,in_progress,เครื่องยนต์,เบรกมีเสียงดังและเบรกไม่อยู่,เสียงดังเอี๊ยด,มอเตอร์เวย์ ขาออก กม. 45,13.521313,100.981502,0,2026-01-27T07:53:48.333Z,2026-01-27T10:45:14.448Z,2026-01-27T14:19:48.755Z,,2026-01-31T12:15:52.604Z
ชบ-8973,Nissan,Navara,ทีม A (กรุงเทพฯ),ช่างเอก,normal,completed,ตัวถัง,ความร้อนขึ้นสูง หม้อน้ำรั่ว,เกจความร้อนขึ้น H,จุดพักรถ ปตท. อยุธยา,14.240830,100.597347,1053,2026-03-25T11:54:27.862Z,2026-03-25T13:35:01.682Z,2026-03-25T19:34:06.059Z,2026-03-26T18:00:08.036Z,2026-03-29T12:40:49.696Z
กท-9732,Mitsubishi,Triton,ทีม B (ภาคเหนือ),ช่างมานะ,normal,in_progress,เครื่องยนต์,เบรกมีเสียงดังและเบรกไม่อยู่,เสียงดังเอี๊ยด,สนามบินสุวรรณภูมิ,13.698834,100.771820,0,2026-05-12T05:12:06.840Z,2026-05-12T06:42:33.310Z,2026-05-12T12:19:01.763Z,,2026-05-18T02:57:41.064Z
ชบ-7279,Nissan,Urvan,ทีม A (กรุงเทพฯ),ช่างวิชัย,high,completed,ช่วงล่าง,แอร์ไม่เย็น คอมเพรสเซอร์ไม่ตัด,ลมร้อน,จุดพักรถ ปตท. อยุธยา,14.248593,100.635117,3254,2025-12-22T10:11:38.470Z,2025-12-22T12:25:17.544Z,2025-12-22T16:32:06.656Z,2025-12-23T08:30:29.240Z,2025-12-25T19:13:26.063Z
นว-6206,Ford,Ranger,ทีม E (ภาคอีสาน),ช่างศักดิ์ชัย,low,completed,เบรก,แบตเตอรี่เสื่อม ไฟไม่พอสตาร์ท,ไฟหน้าปัดโชว์,มอเตอร์เวย์ ขาออก กม. 45,13.543035,100.993028,4379,2026-01-28T14:41:50.697Z,2026-01-28T16:17:59.744Z,2026-01-28T19:03:33.226Z,2026-01-29T11:41:08.094Z,2026-02-02T22:02:24.855Z
นว-3049,Toyota,Hilux Revo,ทีม B (ภาคเหนือ),ช่างสุชาติ,normal,completed,ตัวถัง,เบรกมีเสียงดังและเบรกไม่อยู่,เสียงดังเอี๊ยด,นิคมอุตสาหกรรมบางปู,13.552895,100.640362,2939,2026-02-24T12:53:05.879Z,2026-02-24T15:11:25.290Z,2026-02-24T20:40:24.589Z,2026-02-25T13:12:03.741Z,2026-03-03T07:05:46.107Z
ชบ-3177,Nissan,Urvan,ทีม B (ภาคเหนือ),ช่างนพดล,normal,completed,เครื่องยนต์,แบตเตอรี่เสื่อม ไฟไม่พอสตาร์ท,ไฟหน้าปัดโชว์,ถนนมิตรภาพ โคราช,14.980866,102.108598,1597,2026-03-04T08:43:50.396Z,2026-03-04T11:21:22.563Z,2026-03-04T15:09:25.675Z,2026-03-06T14:29:47.131Z,2026-03-10T11:43:10.676Z
นว-6599,Isuzu,D-Max,ทีม B (ภาคเหนือ),ช่างวิชัย,normal,completed,แอร์,เครื่องยนต์สตาร์ทไม่ติด สตาร์ทเตอร์เสีย,สตาร์ทเงียบ,จุดพักรถ ปตท. อยุธยา,14.260223,100.607609,5620,2026-05-10T12:56:11.108Z,2026-05-10T15:54:50.300Z,2026-05-10T18:25:51.557Z,2026-05-12T09:01:31.360Z,2026-05-14T00:50:03.987Z
สข-3623,Isuzu,Elf,ทีม E (ภาคอีสาน),ช่างนพดล,normal,completed,ช่วงล่าง,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,ลานจอดรถ บิ๊กซี พระราม 4,13.697513,100.557996,6635,2026-04-02T05:40:27.315Z,2026-04-02T09:25:59.456Z,2026-04-02T12:19:10.689Z,2026-04-04T05:09:38.290Z,2026-04-06T01:28:51.781Z
กท-6278,Ford,Ranger,ทีม B (ภาคเหนือ),ช่างสุชาติ,normal,completed,เบรก,เครื่องยนต์สตาร์ทไม่ติด สตาร์ทเตอร์เสีย,สตาร์ทเงียบ,นิคมอุตสาหกรรมบางปู,13.520778,100.640874,2934,2026-02-05T22:49:18.974Z,2026-02-06T00:48:10.681Z,2026-02-06T06:47:47.278Z,2026-02-07T14:38:14.821Z,2026-02-10T22:09:45.207Z
ชบ-5396,Ford,Ranger,ทีม E (ภาคอีสาน),ช่างเอก,urgent,completed,ตัวถัง,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,มอเตอร์เวย์ ขาออก กม. 45,13.504162,101.024576,8161,2026-04-17T20:33:32.866Z,2026-04-17T22:55:24.023Z,2026-04-18T06:39:30.166Z,2026-04-20T00:08:03.171Z,2026-04-22T03:02:53.557Z
นว-2090,Toyota,Hilux Revo,ทีม B (ภาคเหนือ),ช่างมานะ,urgent,completed,เบรก,เครื่องยนต์สตาร์ทไม่ติด สตาร์ทเตอร์เสีย,สตาร์ทเงียบ,นิคมอุตสาหกรรมแหลมฉบัง,13.068860,100.914971,8776,2026-02-18T05:56:35.965Z,2026-02-18T07:26:24.714Z,2026-02-18T15:11:42.122Z,2026-02-20T09:21:30.939Z,2026-02-23T16:30:47.080Z
สข-5375,Nissan,Urvan,ทีม E (ภาคอีสาน),ช่างเอก,low,completed,ช่วงล่าง,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,สี่แยกปฐมพร ชุมพร,10.474286,99.195507,4046,2026-01-28T22:44:33.542Z,2026-01-29T00:02:11.830Z,2026-01-29T05:38:24.132Z,2026-01-30T07:15:53.633Z,2026-02-04T19:05:30.726Z
ชร-9735,Ford,Everest,ทีม A (กรุงเทพฯ),ช่างกิตติ,normal,completed,เบรก,ยางแตกและแม็กดุ้งระหว่างทาง,พวงมาลัยสั่น,ตึกสำนักงานใหญ่ สุขุมวิท,13.752895,100.540293,5665,2026-01-22T00:08:57.242Z,2026-01-22T01:36:45.934Z,2026-01-22T05:23:27.451Z,2026-01-23T20:15:39.420Z,2026-01-27T11:24:47.400Z
นว-6444,Isuzu,D-Max,ทีม C (ภาคตะวันออก),ช่างนพดล,normal,completed,ช่วงล่าง,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,จุดพักรถ ปตท. อยุธยา,14.265362,100.631989,7000,2026-04-12T18:13:27.942Z,2026-04-12T19:34:53.062Z,2026-04-13T01:51:39.535Z,2026-04-14T13:47:53.549Z,2026-04-17T11:00:34.955Z
ชบ-7331,Nissan,Urvan,ทีม A (กรุงเทพฯ),ช่างมานะ,urgent,completed,เบรก,เครื่องยนต์สตาร์ทไม่ติด สตาร์ทเตอร์เสีย,สตาร์ทเงียบ,มอเตอร์เวย์ ขาออก กม. 45,13.522363,101.009469,6524,2026-05-08T00:32:20.006Z,2026-05-08T03:31:55.772Z,2026-05-08T08:26:38.342Z,2026-05-09T09:38:40.097Z,2026-05-11T08:59:39.575Z
ชบ-2173,Nissan,Navara,ทีม E (ภาคอีสาน),ช่างวิชัย,normal,completed,เบรก,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,ถนนมิตรภาพ โคราช,14.981270,102.092100,1351,2026-04-26T14:41:32.593Z,2026-04-26T17:31:50.723Z,2026-04-26T23:57:06.081Z,2026-04-28T14:35:14.379Z,2026-05-01T08:25:53.374Z
ชร-5491,Nissan,Urvan,ทีม B (ภาคเหนือ),ช่างวิชัย,low,completed,เครื่องยนต์,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,มอเตอร์เวย์ ขาออก กม. 45,13.520628,100.993885,6080,2026-04-10T21:05:33.490Z,2026-04-10T23:26:15.172Z,2026-04-11T02:12:33.743Z,2026-04-12T08:05:11.703Z,2026-04-15T16:51:33.060Z
ขก-6550,Ford,Everest,ทีม C (ภาคตะวันออก),ช่างวิชัย,high,completed,ระบบไฟฟ้า,ระบบไฟหน้าช็อต หลอดขาดหมด,ไฟส่องสว่างไม่ทำงาน,ถนนมิตรภาพ โคราช,14.997802,102.114909,6842,2026-03-10T06:18:08.319Z,2026-03-10T08:42:17.483Z,2026-03-10T12:20:38.196Z,2026-03-12T05:39:29.180Z,2026-03-17T03:24:46.084Z
สข-4010,Nissan,Urvan,ทีม B (ภาคเหนือ),ช่างศักดิ์ชัย,normal,waiting_parts,ช่วงล่าง,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,นิคมอุตสาหกรรมแหลมฉบัง,13.089846,100.922320,0,2026-02-12T02:03:43.083Z,2026-02-12T05:10:25.101Z,2026-02-12T07:10:46.632Z,,2026-02-16T05:49:35.648Z
ชร-1306,Nissan,Navara,ทีม C (ภาคตะวันออก),ช่างเอก,urgent,completed,ระบบไฟฟ้า,ระบบไฟหน้าช็อต หลอดขาดหมด,ไฟส่องสว่างไม่ทำงาน,ตึกสำนักงานใหญ่ สุขุมวิท,13.734998,100.556987,5338,2026-03-17T16:34:24.974Z,2026-03-17T18:10:51.545Z,2026-03-17T22:39:40.524Z,2026-03-18T22:37:15.953Z,2026-03-22T17:46:14.732Z
ขก-7471,Mitsubishi,Pajero Sport,ทีม A (กรุงเทพฯ),ช่างสุชาติ,low,completed,เครื่องยนต์,ความร้อนขึ้นสูง หม้อน้ำรั่ว,เกจความร้อนขึ้น H,นิคมอุตสาหกรรมแหลมฉบัง,13.074594,100.924433,3394,2026-01-01T09:29:29.855Z,2026-01-01T11:09:17.424Z,2026-01-01T18:27:24.157Z,2026-01-02T22:01:20.008Z,2026-01-04T13:20:29.637Z
ชร-1592,Toyota,Commuter,ทีม B (ภาคเหนือ),ช่างสุชาติ,urgent,in_progress,แอร์,ยางแตกและแม็กดุ้งระหว่างทาง,พวงมาลัยสั่น,ลานจอดรถ บิ๊กซี พระราม 4,13.707796,100.572872,0,2026-04-25T08:26:21.755Z,2026-04-25T09:32:27.629Z,2026-04-25T15:25:24.335Z,,2026-04-29T04:52:36.224Z
นว-2016,Toyota,Fortuner,ทีม B (ภาคเหนือ),ช่างสุชาติ,low,in_progress,เบรก,ระบบไฟหน้าช็อต หลอดขาดหมด,ไฟส่องสว่างไม่ทำงาน,ถนนมิตรภาพ โคราช,14.995236,102.104627,0,2026-02-12T06:24:33.520Z,2026-02-12T08:20:53.551Z,2026-02-12T10:43:13.998Z,,2026-02-16T08:45:53.783Z
สข-6345,Mitsubishi,Pajero Sport,ทีม E (ภาคอีสาน),ช่างวิชัย,high,completed,แอร์,ระบบไฟหน้าช็อต หลอดขาดหมด,ไฟส่องสว่างไม่ทำงาน,จุดพักรถ ปตท. อยุธยา,14.253196,100.600727,8389,2025-12-16T19:59:53.316Z,2025-12-16T21:48:19.045Z,2025-12-17T00:23:11.255Z,2025-12-18T04:26:03.068Z,2025-12-21T07:32:34.874Z
ชบ-2765,Ford,Ranger,ทีม C (ภาคตะวันออก),ช่างศักดิ์ชัย,high,completed,เครื่องยนต์,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,นิคมอุตสาหกรรมบางปู,13.519187,100.645609,5919,2026-02-13T17:25:00.805Z,2026-02-13T19:48:45.125Z,2026-02-14T03:08:15.673Z,2026-02-15T18:13:50.083Z,2026-02-17T15:07:49.335Z
กท-3700,Nissan,Navara,ทีม A (กรุงเทพฯ),ช่างมานะ,low,completed,ระบบไฟฟ้า,ความร้อนขึ้นสูง หม้อน้ำรั่ว,เกจความร้อนขึ้น H,ลานจอดรถ บิ๊กซี พระราม 4,13.735496,100.576221,1065,2026-04-29T03:52:25.886Z,2026-04-29T06:50:15.356Z,2026-04-29T13:05:15.720Z,2026-04-30T06:37:39.482Z,2026-05-02T08:07:15.603Z
สข-1669,Isuzu,Elf,ทีม A (กรุงเทพฯ),ช่างศักดิ์ชัย,normal,completed,แอร์,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,ตึกสำนักงานใหญ่ สุขุมวิท,13.746555,100.552779,7335,2025-12-14T14:48:29.506Z,2025-12-14T16:44:59.347Z,2025-12-14T21:57:02.387Z,2025-12-15T15:19:00.595Z,2025-12-20T01:39:31.718Z
นว-8360,Toyota,Fortuner,ทีม D (ภาคใต้),ช่างกิตติ,high,in_progress,เครื่องยนต์,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,ลานจอดรถ บิ๊กซี พระราม 4,13.715986,100.558500,0,2026-02-01T18:46:09.930Z,2026-02-01T21:55:09.270Z,2026-02-02T05:17:19.397Z,,2026-02-07T14:48:12.720Z
สข-5176,Mitsubishi,Pajero Sport,ทีม D (ภาคใต้),ช่างมานะ,normal,completed,เครื่องยนต์,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,สนามบินสุวรรณภูมิ,13.690422,100.758598,1758,2026-04-23T16:25:10.794Z,2026-04-23T18:57:29.854Z,2026-04-23T22:51:06.086Z,2026-04-25T03:35:55.422Z,2026-04-29T20:43:55.371Z
นว-2119,Isuzu,Elf,ทีม B (ภาคเหนือ),ช่างวิชัย,normal,completed,เบรก,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,สนามบินสุวรรณภูมิ,13.667173,100.770163,2783,2026-01-28T12:43:03.592Z,2026-01-28T14:30:07.283Z,2026-01-28T21:34:33.687Z,2026-01-30T12:47:03.303Z,2026-02-02T00:50:52.090Z
ขก-7626,Nissan,Urvan,ทีม E (ภาคอีสาน),ช่างมานะ,normal,completed,ตัวถัง,น้ำมันเครื่องรั่วซึมใต้ท้องรถ,มีคราบน้ำมันพื้น,สนามบินสุวรรณภูมิ,13.667953,100.744202,7939,2026-03-13T05:11:13.787Z,2026-03-13T08:47:52.038Z,2026-03-13T12:04:25.926Z,2026-03-14T12:34:48.183Z,2026-03-18T07:48:30.550Z
ชบ-9259,Ford,Ranger,ทีม D (ภาคใต้),ช่างกิตติ,high,completed,เบรก,เครื่องยนต์สตาร์ทไม่ติด สตาร์ทเตอร์เสีย,สตาร์ทเงียบ,สนามบินสุวรรณภูมิ,13.671546,100.727499,2876,2026-03-13T06:03:10.054Z,2026-03-13T08:38:55.801Z,2026-03-13T14:58:17.392Z,2026-03-14T21:56:32.471Z,2026-03-19T13:05:32.624Z
นว-5530,Toyota,Commuter,ทีม A (กรุงเทพฯ),ช่างมานะ,urgent,completed,เครื่องยนต์,สายพานขาดคาเครื่อง,เสียงดังปังในห้องเครื่อง,มอเตอร์เวย์ ขาออก กม. 45,13.515227,101.007478,8171,2026-05-06T12:32:40.833Z,2026-05-06T15:55:58.449Z,2026-05-06T21:14:48.172Z,2026-05-12T03:39:21.157Z,2026-05-11T05:03:06.822Z
กท-6745,Toyota,Hilux Revo,ทีม D (ภาคใต้),ช่างวิชัย,high,completed,ระบบไฟฟ้า,คลัตช์ลื่น เข้าเกียร์ไม่ได้,เหยียบคลัตช์จม,สี่แยกปฐมพร ชุมพร,10.492020,99.169925,4381,2026-04-16T11:45:07.875Z,2026-04-16T15:41:57.164Z,2026-04-16T18:35:11.662Z,2026-04-18T11:40:25.909Z,2026-04-22T20:50:39.559Z
นว-5805,Mitsubishi,Pajero Sport,ทีม A (กรุงเทพฯ),ช่างเอก,low,completed,ระบบไฟฟ้า,ความร้อนขึ้นสูง หม้อน้ำรั่ว,เกจความร้อนขึ้น H,สี่แยกปฐมพร ชุมพร,10.495190,99.185029,7682,2025-12-22T08:55:52.108Z,2025-12-22T10:43:02.282Z,2025-12-22T13:31:53.672Z,2025-12-24T02:30:44.729Z,2025-12-26T00:34:40.672Z
